repo,fix,bic,link
mozilla-unified,1585588,1467970,https://github.com/mozilla-unified/commit/1585588
mozilla-unified,1803108,841942,https://github.com/mozilla-unified/commit/1803108
mozilla-unified,1724028,1720676,https://github.com/mozilla-unified/commit/1724028
mozilla-unified,1649390,1642676,https://github.com/mozilla-unified/commit/1649390
mozilla-unified,1751554,1749891,https://github.com/mozilla-unified/commit/1751554
mozilla-unified,1765822,1764251,https://github.com/mozilla-unified/commit/1765822
mozilla-unified,1738997,1736365,https://github.com/mozilla-unified/commit/1738997
mozilla-unified,1619073,1590860,https://github.com/mozilla-unified/commit/1619073
mozilla-unified,1687228,1667804,https://github.com/mozilla-unified/commit/1687228
mozilla-unified,1658010,1654064,https://github.com/mozilla-unified/commit/1658010
mozilla-unified,1584018,1351924,https://github.com/mozilla-unified/commit/1584018
mozilla-unified,1484213,1596918,https://github.com/mozilla-unified/commit/1484213
mozilla-unified,1786881,1772201,https://github.com/mozilla-unified/commit/1786881
mozilla-unified,1804973,1795851,https://github.com/mozilla-unified/commit/1804973
mozilla-unified,1625446,1581896,https://github.com/mozilla-unified/commit/1625446
mozilla-unified,1800749,1798621,https://github.com/mozilla-unified/commit/1800749
mozilla-unified,1766070,1739139,https://github.com/mozilla-unified/commit/1766070
mozilla-unified,1692969,1692513,https://github.com/mozilla-unified/commit/1692969
mozilla-unified,1717225,1708735,https://github.com/mozilla-unified/commit/1717225
mozilla-unified,1675836,1674722,https://github.com/mozilla-unified/commit/1675836
mozilla-unified,1471546,1459885,https://github.com/mozilla-unified/commit/1471546
mozilla-unified,1648773,1599567,https://github.com/mozilla-unified/commit/1648773
mozilla-unified,1563241,1562906,https://github.com/mozilla-unified/commit/1563241
mozilla-unified,1695578,1692380,https://github.com/mozilla-unified/commit/1695578
mozilla-unified,1650931,1648222,https://github.com/mozilla-unified/commit/1650931
mozilla-unified,1641973,1631228,https://github.com/mozilla-unified/commit/1641973
mozilla-unified,1727083,1613705,https://github.com/mozilla-unified/commit/1727083
mozilla-unified,1605110,1604578,https://github.com/mozilla-unified/commit/1605110
mozilla-unified,1635677,1536556,https://github.com/mozilla-unified/commit/1635677
mozilla-unified,1591108,1444064,https://github.com/mozilla-unified/commit/1591108
mozilla-unified,1665447,1581876,https://github.com/mozilla-unified/commit/1665447
mozilla-unified,1746530,1612941,https://github.com/mozilla-unified/commit/1746530
mozilla-unified,1595087,1593084,https://github.com/mozilla-unified/commit/1595087
mozilla-unified,1791968,885514,https://github.com/mozilla-unified/commit/1791968
mozilla-unified,1665437,1493108,https://github.com/mozilla-unified/commit/1665437
mozilla-unified,1787995,1781104,https://github.com/mozilla-unified/commit/1787995
mozilla-unified,1708291,1705605,https://github.com/mozilla-unified/commit/1708291
mozilla-unified,1624796,1624640,https://github.com/mozilla-unified/commit/1624796
mozilla-unified,1591140,1581925,https://github.com/mozilla-unified/commit/1591140
mozilla-unified,1635769,1574746,https://github.com/mozilla-unified/commit/1635769
mozilla-unified,1603869,1596918,https://github.com/mozilla-unified/commit/1603869
mozilla-unified,1679645,1469521,https://github.com/mozilla-unified/commit/1679645
mozilla-unified,1740281,1607756,https://github.com/mozilla-unified/commit/1740281
mozilla-unified,1706132,1693327,https://github.com/mozilla-unified/commit/1706132
mozilla-unified,1607355,1606026,https://github.com/mozilla-unified/commit/1607355
mozilla-unified,1681958,1672078,https://github.com/mozilla-unified/commit/1681958
mozilla-unified,1614925,1613119,https://github.com/mozilla-unified/commit/1614925
mozilla-unified,1746841,1743377,https://github.com/mozilla-unified/commit/1746841
mozilla-unified,1744943,1742053,https://github.com/mozilla-unified/commit/1744943
mozilla-unified,1610680,1609832,https://github.com/mozilla-unified/commit/1610680
mozilla-unified,1687380,1680637,https://github.com/mozilla-unified/commit/1687380
mozilla-unified,1536453,1502795,https://github.com/mozilla-unified/commit/1536453
mozilla-unified,1577768,1533863,https://github.com/mozilla-unified/commit/1577768
mozilla-unified,1730682,1729236,https://github.com/mozilla-unified/commit/1730682
mozilla-unified,1712424,1700443,https://github.com/mozilla-unified/commit/1712424
mozilla-unified,1564071,1192910,https://github.com/mozilla-unified/commit/1564071
mozilla-unified,1692305,1723574,https://github.com/mozilla-unified/commit/1692305
mozilla-unified,1621655,1621306,https://github.com/mozilla-unified/commit/1621655
mozilla-unified,1754306,1753689,https://github.com/mozilla-unified/commit/1754306
mozilla-unified,1789522,1679456,https://github.com/mozilla-unified/commit/1789522
mozilla-unified,1778575,1371668,https://github.com/mozilla-unified/commit/1778575
mozilla-unified,1740186,1736365,https://github.com/mozilla-unified/commit/1740186
mozilla-unified,1636192,1620966,https://github.com/mozilla-unified/commit/1636192
mozilla-unified,1699909,1698406,https://github.com/mozilla-unified/commit/1699909
mozilla-unified,1558805,1558468,https://github.com/mozilla-unified/commit/1558805
mozilla-unified,1649331,1606880,https://github.com/mozilla-unified/commit/1649331
mozilla-unified,1635271,1524461,https://github.com/mozilla-unified/commit/1635271
mozilla-unified,1601244,1579090,https://github.com/mozilla-unified/commit/1601244
mozilla-unified,1680654,1680080,https://github.com/mozilla-unified/commit/1680654
mozilla-unified,1587365,1575185,https://github.com/mozilla-unified/commit/1587365
mozilla-unified,1540941,1352113,https://github.com/mozilla-unified/commit/1540941
mozilla-unified,1697558,1696842,https://github.com/mozilla-unified/commit/1697558
mozilla-unified,1628621,1617748,https://github.com/mozilla-unified/commit/1628621
mozilla-unified,1634621,1633488,https://github.com/mozilla-unified/commit/1634621
mozilla-unified,1719215,739096,https://github.com/mozilla-unified/commit/1719215
mozilla-unified,1801842,1800456,https://github.com/mozilla-unified/commit/1801842
mozilla-unified,1559322,1543598,https://github.com/mozilla-unified/commit/1559322
mozilla-unified,1585276,1437641,https://github.com/mozilla-unified/commit/1585276
mozilla-unified,1777952,1331109,https://github.com/mozilla-unified/commit/1777952
mozilla-unified,1767973,1767508,https://github.com/mozilla-unified/commit/1767973
mozilla-unified,1714022,1712930,https://github.com/mozilla-unified/commit/1714022
mozilla-unified,1680690,1679928,https://github.com/mozilla-unified/commit/1680690
mozilla-unified,1765981,1762475,https://github.com/mozilla-unified/commit/1765981
mozilla-unified,1703300,1702217,https://github.com/mozilla-unified/commit/1703300
mozilla-unified,1613589,1556627,https://github.com/mozilla-unified/commit/1613589
mozilla-unified,1595093,1576911,https://github.com/mozilla-unified/commit/1595093
mozilla-unified,1666822,1719354,https://github.com/mozilla-unified/commit/1666822
mozilla-unified,1642044,1638981,https://github.com/mozilla-unified/commit/1642044
mozilla-unified,1676020,1566422,https://github.com/mozilla-unified/commit/1676020
mozilla-unified,1593217,1581637,https://github.com/mozilla-unified/commit/1593217
mozilla-unified,1559683,1116629,https://github.com/mozilla-unified/commit/1559683
mozilla-unified,1583114,1553804,https://github.com/mozilla-unified/commit/1583114
mozilla-unified,1629477,1582318,https://github.com/mozilla-unified/commit/1629477
mozilla-unified,1422334,1319111,https://github.com/mozilla-unified/commit/1422334
mozilla-unified,1670039,1654457,https://github.com/mozilla-unified/commit/1670039
mozilla-unified,1716444,1715264,https://github.com/mozilla-unified/commit/1716444
mozilla-unified,1615544,1556627,https://github.com/mozilla-unified/commit/1615544
mozilla-unified,1777496,1774175,https://github.com/mozilla-unified/commit/1777496
mozilla-unified,1768715,1686654,https://github.com/mozilla-unified/commit/1768715
mozilla-unified,1764466,1732795,https://github.com/mozilla-unified/commit/1764466
mozilla-unified,1643212,1556556,https://github.com/mozilla-unified/commit/1643212
mozilla-unified,1684050,1683839,https://github.com/mozilla-unified/commit/1684050
mozilla-unified,1691096,1678483,https://github.com/mozilla-unified/commit/1691096
mozilla-unified,1730222,1576515,https://github.com/mozilla-unified/commit/1730222
mozilla-unified,1791115,1789885,https://github.com/mozilla-unified/commit/1791115
mozilla-unified,1721306,1715300,https://github.com/mozilla-unified/commit/1721306
mozilla-unified,1678023,1676769,https://github.com/mozilla-unified/commit/1678023
mozilla-unified,1581244,1560421,https://github.com/mozilla-unified/commit/1581244
mozilla-unified,1742903,1742686,https://github.com/mozilla-unified/commit/1742903
mozilla-unified,1638118,1634621,https://github.com/mozilla-unified/commit/1638118
